Index,Name,Number Sentences,Readable Sentences,Easy Read Percentage,Total Words,Known Words,Unknown Words,Known Percentage,Total Kanji,Known Kanji,Unknown Kanji,Known Kanji Percentage,Kanji 10+,Known 10+,Known 10+ Percentage,Kanji 5+,Known 5+,Kanji 2+,Known 2+
65,この素晴らしい世界に祝福を！ 09　紅の宿命,2942,535,18,4562,1951,2611,42,1504,1201,303,79,537,516,96,797,739,1211,1030
66,この素晴らしい世界に祝福を！ 10　ギャンブル・スクランブル！,2921,545,18,4601,1968,2633,42,1526,1201,325,78,552,536,97,843,775,1210,1036
67,この素晴らしい世界に祝福を！ 11　大魔法使いの妹,2724,479,17,4472,1940,2532,43,1510,1182,328,78,526,509,96,802,750,1192,1009
68,この素晴らしい世界に祝福を！ 12　女騎士のララバイ,2707,594,21,4339,1930,2409,44,1514,1197,317,79,498,480,96,782,739,1204,1021
69,この素晴らしい世界に祝福を！ 13　リッチーへの挑戦状,2383,342,14,4409,1906,2503,43,1502,1177,325,78,492,480,97,775,725,1194,1006
70,この素晴らしい世界に祝福を！ 14　紅魔の試練,2548,396,15,4271,1895,2376,44,1455,1147,308,78,478,465,97,748,711,1152,999
71,この素晴らしい世界に祝福を！ 15　邪教シンドローム,2809,583,20,4133,1855,2278,44,1447,1157,290,79,489,473,96,761,709,1146,980
72,この素晴らしい世界に祝福を！ 16　脱走女神、ゴーホーム！,2752,454,16,4682,1940,2742,41,1523,1184,339,77,534,515,96,805,751,1219,1035
73,この素晴らしい世界に祝福を！ 17　この冒険者たちに祝福を！,2374,364,15,3910,1672,2238,42,1351,1077,274,79,448,431,96,696,653,1064,914
74,ただ、それだけでよかったんです (電撃文庫),2513,542,21,4567,2050,2517,44,1560,1215,345,77,566,538,95,856,780,1245,1064
75,キミと僕の最後の戦場、あるいは世界が始まる聖戦 (富士見ファンタジア文庫),3800,813,21,5394,2079,3315,38,1739,1269,470,72,660,613,92,974,847,1433,1131
76,シュガーダーク 埋められた闇と少女 (角川スニーカー文庫),2827,689,24,5477,2121,3356,38,1818,1296,522,71,630,591,93,937,824,1405,1125
77,スライム倒して３００年、知らないうちにレベルＭＡＸになってました (GAノベル),3765,931,24,4630,2147,2483,46,1461,1207,254,82,514,508,98,785,758,1165,1046
78,スライム倒して３００年、知らないうちにレベルＭＡＸになってました２ (GAノベル),3765,775,20,4954,2217,2737,44,1484,1207,277,81,541,534,98,830,795,1207,1076
79,スライム倒して３００年、知らないうちにレベルＭＡＸになってました３ (GAノベル),3663,761,20,4809,2156,2653,44,1452,1212,240,83,506,493,97,786,754,1171,1048
80,ソードアート・オンライン1　アインクラッド (電撃文庫),2905,542,18,6844,2278,4566,33,1839,1295,544,70,804,731,90,1104,947,1510,1171
81,三角の距離は限りないゼロ (電撃文庫),3863,1353,35,4076,1864,2212,45,1342,1095,247,81,445,435,97,670,637,1032,918
82,三角の距離は限りないゼロ２ (電撃文庫),3661,1496,40,3431,1683,1748,49,1250,1038,212,83,401,385,96,613,584,958,865
83,三角の距離は限りないゼロ３ (電撃文庫),3452,1042,30,4026,1838,2188,45,1323,1086,237,82,481,463,96,709,668,1037,918
84,三角の距離は限りないゼロ４ (電撃文庫),3169,1206,38,3532,1760,1772,49,1258,1052,206,83,403,388,96,625,596,954,857
85,僕が電話をかけていた場所 君が電話をかけていた場所 (メディアワークス文庫),1691,287,16,5165,2193,2972,42,1690,1270,420,75,644,613,95,920,840,1344,1110
86,双葉社ジュニア文庫 君の膵臓をたべたい,3152,1211,38,4965,2200,2765,44,1596,1259,337,78,603,590,97,876,825,1274,1103
87,新装版　魔女の宅急便　全６冊合本版 (角川文庫),15297,4522,29,7385,2525,4860,34,1369,1159,210,84,702,677,96,889,831,1160,1036
88,日和ちゃんのお願いは絶対 (電撃文庫),3416,1265,37,3918,1918,2000,48,1369,1144,225,83,465,453,97,702,665,1057,949
89,月光 (電撃文庫),3547,740,20,5450,2170,3280,39,1737,1288,449,74,691,661,95,997,900,1435,1161
90,森の魔獣に花束を（イラスト完全版）,3380,910,26,5080,1982,3098,39,1605,1214,391,75,609,567,93,873,777,1258,1035
91,氷の国のアマリリス (電撃文庫),3907,1207,30,5799,2183,3616,37,1648,1249,399,75,718,675,94,982,878,1358,1125
92,灰と幻想のグリムガル　1,2230,315,14,5832,2094,3738,35,1603,1226,377,76,629,587,93,908,813,1305,1079
93,灰と幻想のグリムガル　2,2748,704,25,4451,1767,2684,39,1388,1106,282,79,444,416,93,700,646,1083,937
94,灰と幻想のグリムガル　3,2534,719,28,4519,1820,2699,40,1412,1126,286,79,452,433,95,698,642,1095,944
95,灰と幻想のグリムガル　4,2928,839,28,5397,1974,3423,36,1564,1193,371,76,531,509,95,795,732,1219,1013
96,灰と幻想のグリムガル　5,2561,625,24,4469,1757,2712,39,1345,1068,277,79,440,421,95,675,625,1030,887
97,灰と幻想のグリムガル　6,2903,645,22,5997,2058,3939,34,1651,1207,444,73,573,543,94,838,767,1275,1049
98,読者と主人公と二人のこれから (電撃文庫),3135,1175,37,4127,1935,2192,46,1367,1117,250,81,453,446,98,709,674,1080,953
99,銀河英雄伝説１　黎明篇 (らいとすたっふ文庫),3278,375,11,8119,2346,5773,28,1990,1334,656,67,917,819,89,1194,1005,1656,1233
100,龍盤七朝　DRAGONBUSTER 01 龍盤七朝 DRAGONBUSTER (電撃文庫),2434,600,24,7467,2202,5265,29,2109,1370,739,64,847,756,89,1225,1028,1734,1271
101,龍盤七朝　DRAGONBUSTER 02 龍盤七朝 DRAGONBUSTER (電撃文庫),2806,756,26,8499,2237,6262,26,2265,1389,876,61,935,831,88,1311,1063,1853,1296
