たずね, 13
覗き込む, 13
余計, 13
繋ぐ, 13
すぐ, 13
直ぐ, 13
経っ, 13
あいつ, 13
彼奴, 13
嘘, 13
いか, 13
しまい, 13
授業, 12
仲間, 12
イラスト, 12
付ける, 12
離れ, 12
好意, 12
美しい, 12
起き, 12
終える, 12
ホームルーム, 12
過ぎ, 12
光景, 12
二十, 12
特に, 12
展開, 12
いきなり, 12
行成, 12
はじめる, 12
区, 12
遠慮, 12
書か, 12
文字, 12
買っ, 12
買う, 12
そろそろ, 12
流れ, 12
最後, 12
決して, 12
細い, 12
じっと, 12
理屈, 12
向かっ, 12
高山, 12
得る, 12
偶然, 12
そもそも, 12
抑, 12
行き, 12
互い, 12
一生, 12
一体, 12
廊下, 12
ボタン, 12
押す, 12
こいつ, 12
此奴, 12
改めて, 12
連れる, 12
うう, 12
まじ, 12
朝, 12
真剣, 12
ちらり, 12
ぼんやり, 12
反射, 12
驚き, 12
作中, 12
必死, 12
感じる, 12
振り, 12
熱, 12
しかも, 12
然も, 12
時折, 12
伝える, 12
胸元, 12
控えめ, 12
思い出し, 12
入れ, 12
放課, 12
気味, 12
母親, 12
俯く, 12
以外, 12
笑っ, 12
ゲーム, 12
変化, 12
片隅, 12
浮かべる, 12
初, 12
意見, 12
教える, 12
マイク, 12
画面, 12
噓, 12
下着, 12
ふと, 12
歩い, 12
機嫌, 12
項, 12
当然, 12
中間, 12
単に, 12
本棚, 12
意図, 12
夕飯, 12
元気, 12
なれ, 12
相談, 12
床, 12
苦しい, 12
喫茶, 12
下書き, 12
電撃, 12
差す, 11
淡い, 11
呼ぶ, 11
始まる, 11
ください, 11
深く, 11
読ま, 11
みれ, 11
みる, 11
現われる, 11
下げる, 11
なあ, 11
近い, 11
着く, 11
開ける, 11
ねー, 11
すま, 11
構う, 11
座る, 11
開い, 11
黒い, 11
切り出す, 11
ぶり, 11
うれしい, 11
柔らかい, 11
怒る, 11
待っ, 11
付き, 11
違い, 11
読め, 11
再, 10
ませ, 10
先生, 10
駅前, 10
本屋, 10
タイトル, 10
味, 10
予感, 10
日本, 10
末, 10
人生, 10
生き, 10
町田, 10
マチダ, 10
帰り, 10
式, 10
担任, 10
組, 10
友人, 10
有名, 10
シャツ, 10
出身, 10
委員, 10
活動, 10
書店, 10
中身, 10
面白い, 10
予定, 10
進む, 10
黒髪, 10
ブレザー, 10
背筋, 10
全員, 10
集中, 10
寂しい, 10
現れ, 10
向い, 10
ちょ, 10
かしら, 10
出来事, 10
落ち着く, 10
おっ, 10
ううん, 10
はあ, 10
置い, 10
一瞬, 10
こっち, 10
着い, 10
なきゃ, 10
男女, 10
顔立ち, 10
顔色, 10
眉, 10
昔, 10
系, 10
立てる, 10
時代, 10
万, 10
昼休み, 10
弁当, 10
描写, 10
休み, 10
文章, 10
大きな, 10
腕, 10
恐る恐る, 10
握る, 10
マジ, 10
もらえる, 10
かなり, 10
可成, 10
テンション, 10
状況, 10
ネット, 10
件, 10
罪悪, 10
振っ, 10
手紙, 10
